locus_tag	ftype	length_bp	gene	EC_number	COG	product
CJBLAEJA_00129	CDS	480	secB		COG1952	Protein-export protein SecB
CJBLAEJA_00130	CDS	693	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
CJBLAEJA_00131	CDS	429				hypothetical protein
CJBLAEJA_00132	CDS	630	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
CJBLAEJA_00133	CDS	843	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
CJBLAEJA_00134	CDS	627	yceF	3.6.1.-	COG0424	7-methyl-GTP pyrophosphatase
CJBLAEJA_00135	CDS	825	yqfL	2.7.11.32	COG1806	Putative pyruvate, phosphate dikinase regulatory protein
CJBLAEJA_00136	CDS	1053	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
CJBLAEJA_00137	CDS	1044	hemH	4.99.1.1	COG0276	Ferrochelatase
CJBLAEJA_00138	CDS	444				hypothetical protein
CJBLAEJA_00139	CDS	150				hypothetical protein
CJBLAEJA_00140	CDS	1266	rho	3.6.4.-	COG1158	Transcription termination factor Rho
CJBLAEJA_00141	CDS	984	qorA_1	1.6.5.5	COG0604	Quinone oxidoreductase 1
CJBLAEJA_00142	CDS	624	rhtB		COG1280	Homoserine/homoserine lactone efflux protein
CJBLAEJA_00143	CDS	693	clcD_1	3.1.1.45		Carboxymethylenebutenolidase
CJBLAEJA_00144	CDS	171				hypothetical protein
CJBLAEJA_00145	CDS	951	gcvA			Glycine cleavage system transcriptional activator
CJBLAEJA_00146	CDS	453				IS3 family transposase IS511
CJBLAEJA_00147	CDS	531				hypothetical protein
CJBLAEJA_00148	CDS	267				IS3 family transposase ISMamg1
CJBLAEJA_00149	CDS	306				hypothetical protein
CJBLAEJA_00150	CDS	2034				hypothetical protein
CJBLAEJA_00151	CDS	285				hypothetical protein
CJBLAEJA_00152	CDS	1047	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
CJBLAEJA_00153	CDS	372				hypothetical protein
CJBLAEJA_00154	CDS	1857	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
CJBLAEJA_00155	CDS	681	rsmG	2.1.1.170		Ribosomal RNA small subunit methyltransferase G
CJBLAEJA_00156	CDS	948	parA			Chromosome partitioning protein ParA
CJBLAEJA_00157	CDS	921	parB			Chromosome-partitioning protein ParB
CJBLAEJA_00158	CDS	1044				hypothetical protein
CJBLAEJA_00159	CDS	594				hypothetical protein
CJBLAEJA_00160	CDS	2607	leuS	6.1.1.4		Leucine--tRNA ligase
CJBLAEJA_00161	CDS	567				hypothetical protein
CJBLAEJA_00162	CDS	1113				hypothetical protein
CJBLAEJA_00163	CDS	876				hypothetical protein
CJBLAEJA_00164	CDS	837	staL	2.8.2.36		Desulfo-A47934 sulfotransferase
CJBLAEJA_00165	CDS	615	thiE_1	2.5.1.3		Thiamine-phosphate synthase
CJBLAEJA_00166	CDS	693	yggS		COG0325	Pyridoxal phosphate homeostasis protein
CJBLAEJA_00167	CDS	546				hypothetical protein
CJBLAEJA_00168	CDS	699				hypothetical protein
CJBLAEJA_00169	CDS	234				hypothetical protein
CJBLAEJA_00170	CDS	1644				hypothetical protein
CJBLAEJA_00171	CDS	687	sphR		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein SphR
CJBLAEJA_00172	CDS	165				hypothetical protein
CJBLAEJA_00173	CDS	465				hypothetical protein
CJBLAEJA_00174	CDS	507				hypothetical protein
CJBLAEJA_00175	CDS	480				hypothetical protein
CJBLAEJA_00176	CDS	624				hypothetical protein
CJBLAEJA_00177	CDS	807	xthA_1	3.1.11.2	COG0708	Exodeoxyribonuclease III
CJBLAEJA_00178	CDS	624				hypothetical protein
CJBLAEJA_00179	CDS	1383	spuC_1	2.6.1.113	COG0161	Putrescine--pyruvate aminotransferase
CJBLAEJA_00180	CDS	1383	puuA_1	6.3.1.11	COG0174	Gamma-glutamylputrescine synthetase PuuA
CJBLAEJA_00181	CDS	756	puuD	3.5.1.94	COG2071	Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD
CJBLAEJA_00182	CDS	717	lolA			Outer-membrane lipoprotein carrier protein
CJBLAEJA_00183	CDS	2688				hypothetical protein
CJBLAEJA_00184	CDS	1245	dapL	2.6.1.83	COG0436	LL-diaminopimelate aminotransferase
CJBLAEJA_00185	CDS	1257	amtB			Ammonia channel
CJBLAEJA_00186	CDS	1296	nrgA			Ammonium transporter
CJBLAEJA_00187	CDS	339	glnK		COG0347	Nitrogen regulatory protein P-II 2
CJBLAEJA_00188	CDS	1335	amt			Ammonia channel
CJBLAEJA_00189	CDS	2199	qbdA	1.1.9.1		Quinohemoprotein alcohol dehydrogenase ADH IIB
CJBLAEJA_00190	CDS	1395	cnbH	3.5.99.5		2-amino-5-chloromuconic acid deaminase
CJBLAEJA_00191	CDS	1251	bioI_1	1.14.14.46	COG2124	Biotin biosynthesis cytochrome P450
CJBLAEJA_00192	CDS	1224	ubiL	1.14.13.-	COG0654	Ubiquinone hydroxylase UbiL
CJBLAEJA_00193	CDS	363				hypothetical protein
CJBLAEJA_00194	CDS	219				hypothetical protein
CJBLAEJA_00195	CDS	684				hypothetical protein
CJBLAEJA_00196	CDS	909	cnoX		COG3118	Chaperedoxin
CJBLAEJA_00197	CDS	537	proX		COG3760	Prolyl-tRNA editing protein ProX
CJBLAEJA_00198	tRNA	75				tRNA-Gly(gcc)
CJBLAEJA_00199	CDS	498				hypothetical protein
CJBLAEJA_00200	CDS	1473				hypothetical protein
CJBLAEJA_00201	CDS	1425				hypothetical protein
CJBLAEJA_00202	CDS	1614	purH		COG0138	Bifunctional purine biosynthesis protein PurH
CJBLAEJA_00203	CDS	405		3.1.2.-	COG2050	Putative esterase
CJBLAEJA_00204	CDS	1887	fzlC			FtsZ-localized protein C
CJBLAEJA_00205	CDS	672	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
CJBLAEJA_00206	CDS	744				hypothetical protein
CJBLAEJA_00207	CDS	759	COQ3	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
CJBLAEJA_00208	CDS	1305	rsmB_1	2.1.1.176	COG0144	Ribosomal RNA small subunit methyltransferase B
CJBLAEJA_00209	CDS	867	htpX_1	3.4.24.-	COG0501	Protease HtpX 
CJBLAEJA_00210	CDS	222				hypothetical protein
CJBLAEJA_00211	CDS	1944	acsA_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
CJBLAEJA_00212	CDS	1263	smtB_1	2.8.3.22	COG1804	Succinyl-CoA--L-malate CoA-transferase beta subunit
CJBLAEJA_00213	CDS	441				hypothetical protein
CJBLAEJA_00214	CDS	180				hypothetical protein
CJBLAEJA_00215	CDS	747				hypothetical protein
CJBLAEJA_00216	CDS	225				hypothetical protein
CJBLAEJA_00217	CDS	396				hypothetical protein
CJBLAEJA_00218	CDS	345				hypothetical protein
CJBLAEJA_00219	CDS	426				hypothetical protein
CJBLAEJA_00220	CDS	285				hypothetical protein
CJBLAEJA_00221	CDS	1002	gpsA	1.1.1.94	COG0240	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
CJBLAEJA_00222	CDS	630				hypothetical protein
CJBLAEJA_00223	CDS	105				hypothetical protein
CJBLAEJA_00224	CDS	126				hypothetical protein
CJBLAEJA_00225	CDS	906	mlhB_1	3.1.1.83		Monoterpene epsilon-lactone hydrolase
CJBLAEJA_00226	CDS	1083	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
CJBLAEJA_00227	CDS	927	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
CJBLAEJA_00228	CDS	708				hypothetical protein
CJBLAEJA_00229	CDS	1269				hypothetical protein
CJBLAEJA_00230	CDS	1527				hypothetical protein
CJBLAEJA_00231	CDS	1062			COG0596	putative protein
CJBLAEJA_00232	tRNA	76				tRNA-Thr(cgt)
CJBLAEJA_00233	CDS	1425	hss	2.5.1.44		Homospermidine synthase
CJBLAEJA_00234	CDS	174				hypothetical protein
CJBLAEJA_00235	CDS	498				hypothetical protein
CJBLAEJA_00236	CDS	873	pleC_1	2.7.13.3		Non-motile and phage-resistance protein
CJBLAEJA_00237	CDS	1713				hypothetical protein
CJBLAEJA_00238	CDS	459				hypothetical protein
CJBLAEJA_00239	CDS	2037				hypothetical protein
CJBLAEJA_00240	CDS	1356				putative protein
CJBLAEJA_00241	CDS	1083	hcf136			Ycf48-like protein
CJBLAEJA_00242	CDS	804		4.2.1.150	COG1024	Crotonyl-CoA hydratase
CJBLAEJA_00243	CDS	1176	acrC_1	1.3.1.95		Acryloyl-CoA reductase (NADH)
CJBLAEJA_00244	CDS	1194	hsaA	1.14.14.12		Flavin-dependent monooxygenase, oxygenase subunit HsaA
CJBLAEJA_00245	CDS	792	linX_1	1.1.1.-		2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase LinX
CJBLAEJA_00246	CDS	696				hypothetical protein
CJBLAEJA_00247	tRNA	76				tRNA-Ala(cgc)
CJBLAEJA_00248	CDS	297				hypothetical protein
CJBLAEJA_00249	CDS	327				hypothetical protein
CJBLAEJA_00250	CDS	900	folD		COG0190	Bifunctional protein FolD protein
CJBLAEJA_00251	CDS	1017				hypothetical protein
CJBLAEJA_00252	CDS	1482	dap_1	3.4.11.19		D-aminopeptidase
CJBLAEJA_00253	CDS	534	ppa	3.6.1.1	COG0221	Inorganic pyrophosphatase
CJBLAEJA_00254	CDS	1230	argG	6.3.4.5	COG0137	Argininosuccinate synthase
CJBLAEJA_00255	CDS	582				hypothetical protein
CJBLAEJA_00256	CDS	936				hypothetical protein
CJBLAEJA_00257	CDS	594	nsaD_2	5.99.1.4		2-hydroxychromene-2-carboxylate isomerase
CJBLAEJA_00258	CDS	1197	rlmN	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
CJBLAEJA_00259	CDS	564				hypothetical protein
CJBLAEJA_00260	CDS	1005	qorA_2	1.6.5.5	COG0604	Quinone oxidoreductase 1
CJBLAEJA_00261	CDS	723				hypothetical protein
CJBLAEJA_00262	CDS	1224				hypothetical protein
CJBLAEJA_00263	CDS	426				hypothetical protein
CJBLAEJA_00264	CDS	783		1.-.-.-		putative oxidoreductase
CJBLAEJA_00265	CDS	315	phhB	4.2.1.96	COG2154	Putative pterin-4-alpha-carbinolamine dehydratase
CJBLAEJA_00266	CDS	408				hypothetical protein
CJBLAEJA_00267	CDS	552	thpR	3.1.4.58		RNA 2',3'-cyclic phosphodiesterase
CJBLAEJA_00268	CDS	1041	tas		COG0667	Protein tas
CJBLAEJA_00269	CDS	678		3.1.1.2		Arylesterase
CJBLAEJA_00270	CDS	693	ytrE		COG1136	ABC transporter ATP-binding protein YtrE
CJBLAEJA_00271	CDS	2565				hypothetical protein
CJBLAEJA_00272	CDS	759	ybhL		COG0670	Inner membrane protein YbhL
CJBLAEJA_00273	CDS	405				hypothetical protein
CJBLAEJA_00274	CDS	969	btuD	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
CJBLAEJA_00275	CDS	735				hypothetical protein
CJBLAEJA_00276	CDS	1944				hypothetical protein
CJBLAEJA_00277	CDS	1104				hypothetical protein
CJBLAEJA_00278	CDS	3225	acnA	4.2.1.3	COG1048	Aconitate hydratase A
CJBLAEJA_00279	CDS	804	dpgD_1	4.2.1.17		Enoyl-CoA-hydratase
CJBLAEJA_00280	CDS	627	ccmA	7.6.2.5	COG4133	Cytochrome c biogenesis ATP-binding export protein CcmA
CJBLAEJA_00281	CDS	678	ccmB		COG2386	Heme exporter protein B
CJBLAEJA_00282	CDS	753	ccmC		COG0755	Heme exporter protein C
CJBLAEJA_00283	CDS	204				hypothetical protein
CJBLAEJA_00284	CDS	552	cycY		COG0526	Thiol:disulfide interchange protein CycY
CJBLAEJA_00285	CDS	546				hypothetical protein
CJBLAEJA_00286	CDS	591				hypothetical protein
CJBLAEJA_00287	CDS	1650	nanT_1			Sialic acid transporter NanT
CJBLAEJA_00288	CDS	639	yciB		COG2917	Intracellular septation protein
CJBLAEJA_00289	CDS	951	ftsY		COG0552	Signal recognition particle receptor FtsY
CJBLAEJA_00290	CDS	1263	mtaB	2.8.4.5	COG0621	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB
CJBLAEJA_00291	CDS	867	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
CJBLAEJA_00292	CDS	489	cinA_1			Putative competence-damage inducible protein
CJBLAEJA_00293	CDS	387				hypothetical protein
CJBLAEJA_00294	CDS	243				hypothetical protein
CJBLAEJA_00295	CDS	1512	ffh		COG0541	Signal recognition particle protein
CJBLAEJA_00296	CDS	396				hypothetical protein
CJBLAEJA_00297	CDS	567	rimM		COG0806	Ribosome maturation factor RimM
CJBLAEJA_00298	CDS	708	trmD	2.1.1.228	COG0336	tRNA (guanine-N(1)-)-methyltransferase
CJBLAEJA_00299	CDS	393	rplS		COG0335	50S ribosomal protein L19
CJBLAEJA_00300	CDS	1407	leuC	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
CJBLAEJA_00301	CDS	606	leuD	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit
CJBLAEJA_00302	CDS	1107	leuB	1.1.1.85		3-isopropylmalate dehydrogenase
CJBLAEJA_00303	CDS	1023	asd2	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase 2
CJBLAEJA_00304	CDS	2139	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
CJBLAEJA_00305	CDS	897	mcl2_1	3.1.2.30	COG2301	(3S)-malyl-CoA thioesterase
CJBLAEJA_00306	CDS	1050	mch	4.2.1.148	COG2030	Beta-methylmalyl-CoA dehydratase
CJBLAEJA_00307	CDS	594				hypothetical protein
CJBLAEJA_00308	CDS	408	sdhC		COG2009	Succinate dehydrogenase cytochrome b556 subunit
CJBLAEJA_00309	CDS	396				hypothetical protein
CJBLAEJA_00310	CDS	1791	sdhA	1.3.5.1		Succinate dehydrogenase flavoprotein subunit
CJBLAEJA_00311	CDS	780	sdhB	1.3.5.1	COG0479	Succinate dehydrogenase iron-sulfur subunit
CJBLAEJA_00312	CDS	534				hypothetical protein
CJBLAEJA_00313	CDS	357				hypothetical protein
CJBLAEJA_00314	CDS	513	arsC	1.20.4.4		Arsenate reductase
CJBLAEJA_00315	CDS	1074	acr3		COG0798	Arsenical-resistance protein Acr3
CJBLAEJA_00316	CDS	294				hypothetical protein
CJBLAEJA_00317	CDS	1500	bauC	1.2.1.-	COG1012	Putative 3-oxopropanoate dehydrogenase
CJBLAEJA_00318	CDS	840	nat	2.3.1.5	COG2162	Arylamine N-acetyltransferase
CJBLAEJA_00319	CDS	1122	zapE		COG1485	Cell division protein ZapE
CJBLAEJA_00320	CDS	594				hypothetical protein
CJBLAEJA_00321	CDS	1005	mdh	1.1.1.37		Malate dehydrogenase
CJBLAEJA_00322	CDS	1077	rbn	3.1.26.11		Ribonuclease BN
CJBLAEJA_00323	CDS	1170	sucC	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
CJBLAEJA_00324	CDS	876	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
CJBLAEJA_00325	CDS	3192	sucA	1.2.4.2	COG0567	2-oxoglutarate dehydrogenase E1 component
CJBLAEJA_00326	CDS	948	sucB	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
CJBLAEJA_00327	CDS	1392	lpd3	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase 3
CJBLAEJA_00328	CDS	936	xerC_1		COG4973	Tyrosine recombinase XerC
CJBLAEJA_00329	CDS	741				hypothetical protein
CJBLAEJA_00330	CDS	693	tal	2.2.1.2	COG0176	Transaldolase
CJBLAEJA_00331	CDS	1581	priA_1	3.6.4.-	COG1198	Primosomal protein N'
CJBLAEJA_00332	CDS	450	priA_2	3.6.4.-	COG1198	Primosomal protein N'
CJBLAEJA_00333	CDS	558	atpH		COG0712	ATP synthase subunit delta
CJBLAEJA_00334	CDS	1530	atpA	7.1.2.2	COG0056	ATP synthase subunit alpha
CJBLAEJA_00335	CDS	882	atpG_1		COG0224	ATP synthase gamma chain
CJBLAEJA_00336	CDS	1437	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
CJBLAEJA_00337	CDS	399	atpC		COG0355	ATP synthase epsilon chain
CJBLAEJA_00338	CDS	825				hypothetical protein
CJBLAEJA_00339	CDS	627				hypothetical protein
CJBLAEJA_00340	CDS	1158				hypothetical protein
CJBLAEJA_00341	CDS	540	rppH_1	3.6.1.-	COG0494	RNA pyrophosphohydrolase
CJBLAEJA_00342	CDS	1260				hypothetical protein
CJBLAEJA_00343	CDS	1326		3.4.21.-		putative CtpA-like serine protease
CJBLAEJA_00344	CDS	1344				hypothetical protein
CJBLAEJA_00345	CDS	1575	gpmI	5.4.2.12		2,3-bisphosphoglycerate-independent phosphoglycerate mutase
CJBLAEJA_00346	CDS	480	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
CJBLAEJA_00347	CDS	477	rsfS			Ribosomal silencing factor RsfS
CJBLAEJA_00348	CDS	603	nadD	2.7.7.18		nicotinate-nucleotide adenylyltransferase
CJBLAEJA_00349	CDS	1299	proA	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
CJBLAEJA_00350	CDS	1119	proB	2.7.2.11		Glutamate 5-kinase
CJBLAEJA_00351	CDS	1041	cgtA	3.6.5.-		GTPase Obg/CgtA
CJBLAEJA_00352	CDS	276	rpmA		COG0211	50S ribosomal protein L27
CJBLAEJA_00353	CDS	315	rplU		COG0261	50S ribosomal protein L21
CJBLAEJA_00354	CDS	771	pcs	2.7.8.24	COG1183	Phosphatidylcholine synthase
