locus_tag	ftype	length_bp	gene	EC_number	COG	product
LHHIPBPA_00037	CDS	405				hypothetical protein
LHHIPBPA_00038	CDS	426				hypothetical protein
LHHIPBPA_00039	CDS	2409	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
LHHIPBPA_00040	CDS	612				hypothetical protein
LHHIPBPA_00041	CDS	882				hypothetical protein
LHHIPBPA_00042	CDS	1236				hypothetical protein
LHHIPBPA_00043	CDS	540				hypothetical protein
LHHIPBPA_00044	CDS	540	thpR	3.1.4.58		RNA 2',3'-cyclic phosphodiesterase
LHHIPBPA_00045	CDS	756	ybhL		COG0670	Inner membrane protein YbhL
LHHIPBPA_00046	CDS	333				hypothetical protein
LHHIPBPA_00047	CDS	1308	degQ_1	3.4.21.107	COG0265	Periplasmic pH-dependent serine endoprotease DegQ
LHHIPBPA_00048	CDS	1449	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
LHHIPBPA_00049	CDS	813	copR			Transcriptional activator protein CopR
LHHIPBPA_00050	CDS	1191	acdA_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
LHHIPBPA_00051	CDS	267				hypothetical protein
LHHIPBPA_00052	CDS	1182	yfdE	2.8.3.19	COG1804	Acetyl-CoA:oxalate CoA-transferase
LHHIPBPA_00053	CDS	411				hypothetical protein
LHHIPBPA_00054	CDS	393				hypothetical protein
LHHIPBPA_00055	CDS	1551				hypothetical protein
LHHIPBPA_00056	CDS	3012	sucA	1.2.4.2	COG0567	2-oxoglutarate dehydrogenase E1 component
LHHIPBPA_00057	CDS	276				hypothetical protein
LHHIPBPA_00058	CDS	345				hypothetical protein
LHHIPBPA_00059	CDS	903	sucD	6.2.1.5		Succinate--CoA ligase [ADP-forming] subunit alpha
LHHIPBPA_00060	CDS	1191	sucC	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
LHHIPBPA_00061	CDS	1512	nanT_1			Sialic acid transporter NanT
LHHIPBPA_00062	CDS	2199	fyuA		COG1629	Pesticin receptor
LHHIPBPA_00063	CDS	708				hypothetical protein
LHHIPBPA_00064	CDS	783				hypothetical protein
LHHIPBPA_00065	CDS	1464		1.13.11.75		Apocarotenoid-15,15'-oxygenase
LHHIPBPA_00066	CDS	417				hypothetical protein
LHHIPBPA_00067	CDS	711				hypothetical protein
LHHIPBPA_00068	CDS	273				hypothetical protein
LHHIPBPA_00069	CDS	2589	clpB			Chaperone protein ClpB
LHHIPBPA_00070	CDS	648	rhtB		COG1280	Homoserine/homoserine lactone efflux protein
LHHIPBPA_00071	CDS	633				hypothetical protein
LHHIPBPA_00072	CDS	405				hypothetical protein
LHHIPBPA_00073	CDS	669				hypothetical protein
LHHIPBPA_00074	CDS	804				hypothetical protein
LHHIPBPA_00075	CDS	879	prmC_1	2.1.1.297	COG2890	Release factor glutamine methyltransferase
LHHIPBPA_00076	CDS	777				hypothetical protein
LHHIPBPA_00077	CDS	1224				hypothetical protein
LHHIPBPA_00078	CDS	642				hypothetical protein
LHHIPBPA_00079	CDS	1068	prfA		COG0216	Peptide chain release factor RF1
LHHIPBPA_00080	CDS	648				hypothetical protein
LHHIPBPA_00081	CDS	780				hypothetical protein
LHHIPBPA_00082	CDS	597	yibF_1		COG0625	putative GST-like protein YibF
LHHIPBPA_00083	CDS	1188	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
LHHIPBPA_00084	CDS	1128				hypothetical protein
LHHIPBPA_00085	CDS	2265	ptsP	2.7.3.9	COG3605	Phosphoenolpyruvate-dependent phosphotransferase system
LHHIPBPA_00086	CDS	1275		2.7.2.4	COG0527	Aspartate kinase
LHHIPBPA_00087	CDS	753	ubiG	2.1.1.222	COG2227	Ubiquinone biosynthesis O-methyltransferase
LHHIPBPA_00088	CDS	543				hypothetical protein
LHHIPBPA_00089	CDS	456				hypothetical protein
LHHIPBPA_00090	CDS	822				hypothetical protein
LHHIPBPA_00091	CDS	432				hypothetical protein
LHHIPBPA_00092	CDS	837	nit1	3.5.1.128		Deaminated glutathione amidase
LHHIPBPA_00093	CDS	258	grxC		COG0695	Glutaredoxin 3
LHHIPBPA_00094	CDS	321				hypothetical protein
LHHIPBPA_00095	CDS	558				hypothetical protein
LHHIPBPA_00096	CDS	183				hypothetical protein
LHHIPBPA_00097	CDS	411	nudG	3.6.1.65	COG0494	CTP pyrophosphohydrolase
LHHIPBPA_00098	CDS	2313	ARG7	2.3.1.1		Arginine biosynthesis bifunctional protein ArgJ, chloroplastic
LHHIPBPA_00099	CDS	2895	secA		COG0653	Protein translocase subunit SecA
LHHIPBPA_00100	CDS	540				hypothetical protein
LHHIPBPA_00101	CDS	378				hypothetical protein
LHHIPBPA_00102	CDS	1164				hypothetical protein
LHHIPBPA_00103	CDS	873				hypothetical protein
LHHIPBPA_00104	CDS	1503	bauC	1.2.1.-	COG1012	Putative 3-oxopropanoate dehydrogenase
LHHIPBPA_00105	CDS	891		3.5.1.29		2-(acetamidomethylene)succinate hydrolase
LHHIPBPA_00106	CDS	411	zur		COG0735	Zinc uptake regulation protein
LHHIPBPA_00107	CDS	2082			COG1629	putative TonB-dependent receptor
LHHIPBPA_00108	CDS	792				hypothetical protein
LHHIPBPA_00109	CDS	408				hypothetical protein
LHHIPBPA_00110	CDS	1023	curA	1.3.1.-	COG2130	NADPH-dependent curcumin reductase
LHHIPBPA_00111	CDS	354				hypothetical protein
LHHIPBPA_00112	CDS	798	phyR_1			Phyllosphere-induced regulator PhyR
LHHIPBPA_00113	CDS	198				hypothetical protein
LHHIPBPA_00114	CDS	612				hypothetical protein
LHHIPBPA_00115	CDS	1785				hypothetical protein
LHHIPBPA_00116	CDS	138				hypothetical protein
LHHIPBPA_00117	CDS	1659	nanT_2			Sialic acid transporter NanT
LHHIPBPA_00118	CDS	189				hypothetical protein
LHHIPBPA_00119	CDS	519	lrp		COG1522	Leucine-responsive regulatory protein
LHHIPBPA_00120	CDS	1119	ald	1.4.1.1	COG0686	Alanine dehydrogenase
LHHIPBPA_00121	CDS	360				hypothetical protein
LHHIPBPA_00122	CDS	399				hypothetical protein
LHHIPBPA_00123	CDS	1077	cgtA	3.6.5.-		GTPase Obg/CgtA
LHHIPBPA_00124	CDS	1164	proB	2.7.2.11		Glutamate 5-kinase
LHHIPBPA_00125	CDS	1293	proA	1.2.1.41		Gamma-glutamyl phosphate reductase
LHHIPBPA_00126	CDS	726	nadD	2.7.7.18		nicotinate-nucleotide adenylyltransferase
LHHIPBPA_00127	CDS	405	rsfS			Ribosomal silencing factor RsfS
LHHIPBPA_00128	CDS	465	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
LHHIPBPA_00129	CDS	900				hypothetical protein
LHHIPBPA_00130	CDS	222				hypothetical protein
LHHIPBPA_00131	CDS	1416				hypothetical protein
LHHIPBPA_00132	CDS	1200				hypothetical protein
LHHIPBPA_00133	CDS	474	rppH	3.6.1.-	COG0494	RNA pyrophosphohydrolase
LHHIPBPA_00134	CDS	966				hypothetical protein
LHHIPBPA_00135	CDS	330	gdx		COG2076	Guanidinium exporter
LHHIPBPA_00136	CDS	270	atpC		COG0355	ATP synthase epsilon chain
LHHIPBPA_00137	CDS	1554	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
LHHIPBPA_00138	CDS	879	atpG_1		COG0224	ATP synthase gamma chain
LHHIPBPA_00139	CDS	1536	atpA	7.1.2.2	COG0056	ATP synthase subunit alpha
LHHIPBPA_00140	CDS	555	atpH		COG0712	ATP synthase subunit delta
LHHIPBPA_00141	CDS	930				hypothetical protein
LHHIPBPA_00142	CDS	780				hypothetical protein
LHHIPBPA_00143	CDS	2163	priA	3.6.4.-	COG1198	Primosomal protein N'
LHHIPBPA_00144	CDS	654	tal	2.2.1.2	COG0176	Transaldolase
LHHIPBPA_00145	CDS	708				hypothetical protein
LHHIPBPA_00146	CDS	948	xerC_1		COG4973	Tyrosine recombinase XerC
LHHIPBPA_00147	CDS	990				hypothetical protein
LHHIPBPA_00148	CDS	1419	lpd3	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase 3
LHHIPBPA_00149	CDS	492				hypothetical protein
LHHIPBPA_00150	CDS	1788				hypothetical protein
LHHIPBPA_00151	CDS	1344	xerC_2			Tyrosine recombinase XerC
LHHIPBPA_00152	CDS	291				hypothetical protein
LHHIPBPA_00153	CDS	348				hypothetical protein
LHHIPBPA_00154	CDS	198				hypothetical protein
LHHIPBPA_00155	CDS	729				hypothetical protein
LHHIPBPA_00156	CDS	162				hypothetical protein
LHHIPBPA_00157	CDS	171				hypothetical protein
LHHIPBPA_00158	CDS	324				hypothetical protein
LHHIPBPA_00159	CDS	471				hypothetical protein
LHHIPBPA_00160	CDS	609				hypothetical protein
LHHIPBPA_00161	CDS	315				hypothetical protein
LHHIPBPA_00162	CDS	2715				hypothetical protein
LHHIPBPA_00163	CDS	2664				hypothetical protein
LHHIPBPA_00164	CDS	2919				hypothetical protein
LHHIPBPA_00165	CDS	492				hypothetical protein
LHHIPBPA_00166	CDS	837				hypothetical protein
LHHIPBPA_00167	CDS	390				hypothetical protein
LHHIPBPA_00168	CDS	258				hypothetical protein
LHHIPBPA_00169	tRNA	75				tRNA-Gly(gcc)
LHHIPBPA_00170	CDS	783		1.-.-.-		putative oxidoreductase
LHHIPBPA_00171	CDS	399				hypothetical protein
LHHIPBPA_00172	CDS	729				hypothetical protein
LHHIPBPA_00173	CDS	1002	qorA_1	1.6.5.5	COG0604	Quinone oxidoreductase 1
LHHIPBPA_00174	CDS	870	iaaA_1	3.4.19.5	COG1446	Isoaspartyl peptidase
LHHIPBPA_00175	CDS	531				hypothetical protein
LHHIPBPA_00176	CDS	1086	lov	2.7.13.3		Blue-light-activated histidine kinase
LHHIPBPA_00177	CDS	2706	acnA	4.2.1.3	COG1048	Aconitate hydratase A
LHHIPBPA_00178	CDS	654	ccmA	7.6.2.5	COG4133	Cytochrome c biogenesis ATP-binding export protein CcmA
LHHIPBPA_00179	CDS	654	ccmB		COG2386	Heme exporter protein B
LHHIPBPA_00180	CDS	225				hypothetical protein
LHHIPBPA_00181	CDS	1509				hypothetical protein
LHHIPBPA_00182	CDS	723	ccmC		COG0755	Heme exporter protein C
LHHIPBPA_00183	CDS	156				hypothetical protein
LHHIPBPA_00184	CDS	579	dsbE		COG0526	Thiol:disulfide interchange protein DsbE
LHHIPBPA_00185	CDS	219				hypothetical protein
LHHIPBPA_00186	CDS	774				hypothetical protein
LHHIPBPA_00187	CDS	666				hypothetical protein
LHHIPBPA_00188	CDS	1743				hypothetical protein
LHHIPBPA_00189	CDS	1077				hypothetical protein
LHHIPBPA_00190	CDS	1503	glpK	2.7.1.30	COG0554	Glycerol kinase
LHHIPBPA_00191	CDS	981	thadh	4.3.1.16		L-threo-3-hydroxyaspartate ammonia-lyase
LHHIPBPA_00192	CDS	480		4.2.1.17	COG2030	putative enoyl-CoA hydratase 1
LHHIPBPA_00193	CDS	936	iolX	1.1.1.370	COG0673	scyllo-inositol 2-dehydrogenase (NAD(+))
LHHIPBPA_00194	CDS	1062	wbpE_1	2.6.1.98	COG0399	UDP-2-acetamido-2-deoxy-3-oxo-D-glucuronate aminotransferase
LHHIPBPA_00195	CDS	513	gmhB	3.1.3.82	COG0241	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
LHHIPBPA_00196	CDS	876		3.5.1.29		2-(acetamidomethylene)succinate hydrolase
LHHIPBPA_00197	CDS	2043	nadE	6.3.5.1	COG0171	Glutamine-dependent NAD(+) synthetase
LHHIPBPA_00198	CDS	933	ftsY		COG0552	Signal recognition particle receptor FtsY
LHHIPBPA_00199	CDS	693	yciB			intracellular septation protein A
LHHIPBPA_00200	CDS	630				hypothetical protein
LHHIPBPA_00201	CDS	2238				hypothetical protein
LHHIPBPA_00202	CDS	2178				hypothetical protein
LHHIPBPA_00203	CDS	813				hypothetical protein
LHHIPBPA_00204	CDS	876	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
LHHIPBPA_00205	CDS	2280	tme	1.1.1.40	COG0280	NADP-dependent malic enzyme
LHHIPBPA_00206	CDS	1740				hypothetical protein
LHHIPBPA_00207	CDS	1533	barA	2.7.13.3	COG0784	Signal transduction histidine-protein kinase BarA
LHHIPBPA_00208	CDS	945	gshB_1	6.3.2.3	COG0189	Glutathione synthetase
LHHIPBPA_00209	CDS	816				hypothetical protein
LHHIPBPA_00210	CDS	873	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
LHHIPBPA_00211	CDS	591				hypothetical protein
LHHIPBPA_00212	CDS	1353				hypothetical protein
LHHIPBPA_00213	CDS	915				hypothetical protein
LHHIPBPA_00214	CDS	1164	hemW		COG0635	Heme chaperone HemW
LHHIPBPA_00215	CDS	603		3.6.1.66	COG0127	dITP/XTP pyrophosphatase
LHHIPBPA_00216	CDS	117				hypothetical protein
LHHIPBPA_00217	CDS	591				hypothetical protein
LHHIPBPA_00218	CDS	261				hypothetical protein
LHHIPBPA_00219	CDS	546				hypothetical protein
LHHIPBPA_00220	CDS	1023	iolC	2.7.1.92	COG0524	5-dehydro-2-deoxygluconokinase
LHHIPBPA_00221	CDS	912	dcsG	6.3.3.5		Cycloserine biosynthesis protein DcsG
LHHIPBPA_00222	CDS	495				hypothetical protein
LHHIPBPA_00223	CDS	687	nth	4.2.99.18	COG0177	Endonuclease III
LHHIPBPA_00224	CDS	1413			COG2239	Magnesium transporter MgtE
LHHIPBPA_00225	CDS	756	crnA	3.5.2.10		Creatinine amidohydrolase
LHHIPBPA_00226	CDS	510				hypothetical protein
LHHIPBPA_00227	CDS	1434	amn	3.2.2.4	COG0775	AMP nucleosidase
LHHIPBPA_00228	CDS	1104				hypothetical protein
LHHIPBPA_00229	CDS	858	aqdA1	3.5.1.-		putative N-octanoylanthranilate hydrolase AqdA1
LHHIPBPA_00230	CDS	1614				hypothetical protein
LHHIPBPA_00231	CDS	2046				hypothetical protein
LHHIPBPA_00232	CDS	318				hypothetical protein
LHHIPBPA_00233	CDS	2115	dpp5	3.4.14.-	COG1506	Dipeptidyl-peptidase 5
LHHIPBPA_00234	CDS	864				hypothetical protein
LHHIPBPA_00235	CDS	465	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
LHHIPBPA_00236	CDS	1089	amgK	2.7.1.221	COG3178	N-acetylmuramate/N-acetylglucosamine kinase
LHHIPBPA_00237	CDS	741	murU	2.7.7.99	COG1208	N-acetylmuramate alpha-1-phosphate uridylyltransferase
LHHIPBPA_00238	CDS	3078				hypothetical protein
LHHIPBPA_00239	CDS	3453	addA	3.6.4.12		ATP-dependent helicase/nuclease subunit A
LHHIPBPA_00240	CDS	339	trxA		COG0526	Thioredoxin
LHHIPBPA_00241	CDS	294				hypothetical protein
LHHIPBPA_00242	CDS	1275	fpgS	6.3.2.17		Folylpolyglutamate synthase
LHHIPBPA_00243	CDS	897	accD	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
LHHIPBPA_00244	CDS	831	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
LHHIPBPA_00245	CDS	435				hypothetical protein
LHHIPBPA_00246	CDS	1215	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
LHHIPBPA_00247	CDS	642	trpF	5.3.1.24	COG0135	N-(5'-phosphoribosyl)anthranilate isomerase
LHHIPBPA_00248	CDS	732	rsuA	5.4.99.19	COG1187	Ribosomal small subunit pseudouridine synthase A
LHHIPBPA_00249	CDS	900	rsmC	2.1.1.172	COG2813	Ribosomal RNA small subunit methyltransferase C
LHHIPBPA_00250	CDS	171				hypothetical protein
LHHIPBPA_00251	CDS	258				hypothetical protein
LHHIPBPA_00252	CDS	183				hypothetical protein
LHHIPBPA_00253	CDS	399				hypothetical protein
LHHIPBPA_00254	CDS	1932	recQ	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
LHHIPBPA_00255	CDS	663				hypothetical protein
LHHIPBPA_00256	CDS	1839	btuB_1		COG4206	Vitamin B12 transporter BtuB
LHHIPBPA_00257	CDS	279	mutS_1			DNA mismatch repair protein MutS
LHHIPBPA_00258	CDS	2463	mutS_2		COG0249	DNA mismatch repair protein MutS
LHHIPBPA_00259	CDS	2691	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
LHHIPBPA_00260	CDS	1596	murJ_1		COG0728	putative lipid II flippase MurJ
LHHIPBPA_00261	CDS	1044	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
LHHIPBPA_00262	tRNA	82				tRNA-Thr(ggt)
LHHIPBPA_00263	CDS	1980	kup			Low affinity potassium transport system protein kup
LHHIPBPA_00264	CDS	471	ywnA		COG1959	Putative HTH-type transcriptional regulator YwnA
LHHIPBPA_00265	CDS	813				hypothetical protein
LHHIPBPA_00266	CDS	693				hypothetical protein
LHHIPBPA_00267	CDS	726	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
LHHIPBPA_00268	CDS	906				hypothetical protein
LHHIPBPA_00269	CDS	513				hypothetical protein
LHHIPBPA_00270	CDS	273				hypothetical protein
LHHIPBPA_00271	CDS	957	htpX_1	3.4.24.-	COG0501	Protease HtpX 
LHHIPBPA_00272	CDS	1233	argG	6.3.4.5	COG0137	Argininosuccinate synthase
LHHIPBPA_00273	CDS	456				hypothetical protein
LHHIPBPA_00274	CDS	564				hypothetical protein
LHHIPBPA_00275	CDS	633	rhtC		COG1280	Threonine efflux protein
LHHIPBPA_00276	CDS	555				hypothetical protein
LHHIPBPA_00277	CDS	741				hypothetical protein
LHHIPBPA_00278	CDS	543				hypothetical protein
LHHIPBPA_00279	CDS	1605	purH		COG0138	Bifunctional purine biosynthesis protein PurH
LHHIPBPA_00280	CDS	756				hypothetical protein
LHHIPBPA_00281	CDS	465				hypothetical protein
LHHIPBPA_00282	CDS	648	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
LHHIPBPA_00283	CDS	1812	fzlC			FtsZ-localized protein C
LHHIPBPA_00284	CDS	897	cnoX		COG3118	Chaperedoxin
LHHIPBPA_00285	CDS	660	lon2	3.4.21.53	COG0466	Lon protease 2
LHHIPBPA_00286	CDS	195				hypothetical protein
LHHIPBPA_00287	CDS	1254	ubiL	1.14.13.-	COG0654	Ubiquinone hydroxylase UbiL
LHHIPBPA_00288	CDS	510				hypothetical protein
LHHIPBPA_00289	CDS	1845	ftsK		COG1674	DNA translocase FtsK
LHHIPBPA_00290	CDS	669	lolA			Outer-membrane lipoprotein carrier protein
LHHIPBPA_00291	CDS	795	xthA_1	3.1.11.2	COG0708	Exodeoxyribonuclease III
LHHIPBPA_00292	CDS	1299				hypothetical protein
LHHIPBPA_00293	CDS	849				hypothetical protein
LHHIPBPA_00294	CDS	723	walR		COG0745	Transcriptional regulatory protein WalR
LHHIPBPA_00295	CDS	603			COG0325	Pyridoxal phosphate homeostasis protein
LHHIPBPA_00296	CDS	675	thiE_1	2.5.1.3		Thiamine-phosphate synthase
LHHIPBPA_00297	CDS	423				hypothetical protein
LHHIPBPA_00298	CDS	276				hypothetical protein
LHHIPBPA_00299	CDS	486				hypothetical protein
LHHIPBPA_00300	CDS	2568	leuS	6.1.1.4		Leucine--tRNA ligase
LHHIPBPA_00301	CDS	477				hypothetical protein
LHHIPBPA_00302	CDS	1053				hypothetical protein
LHHIPBPA_00303	CDS	186				hypothetical protein
LHHIPBPA_00304	CDS	831	parB			Chromosome-partitioning protein ParB
LHHIPBPA_00305	CDS	813	parA			Chromosome partitioning protein ParA
LHHIPBPA_00306	CDS	621	rsmG	2.1.1.170		Ribosomal RNA small subunit methyltransferase G
LHHIPBPA_00307	tRNA	78				tRNA-Ile(gat)
LHHIPBPA_00308	CDS	270	mnmE_1	3.6.-.-		tRNA modification GTPase MnmE
LHHIPBPA_00309	CDS	1038	mnmE_2	3.6.-.-	COG0486	tRNA modification GTPase MnmE
LHHIPBPA_00310	CDS	228				hypothetical protein
LHHIPBPA_00311	CDS	1416	rho	3.6.4.-	COG1158	Transcription termination factor Rho
LHHIPBPA_00312	CDS	471				hypothetical protein
LHHIPBPA_00313	CDS	1071	hemH	4.99.1.1	COG0276	Ferrochelatase
LHHIPBPA_00314	CDS	1047	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
LHHIPBPA_00315	CDS	885	yqfL	2.7.11.32	COG1806	Putative pyruvate, phosphate dikinase regulatory protein
LHHIPBPA_00316	CDS	603	yceF	3.6.1.-	COG0424	7-methyl-GTP pyrophosphatase
LHHIPBPA_00317	CDS	798	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
LHHIPBPA_00318	CDS	642	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
LHHIPBPA_00319	CDS	711	dinG_1	3.1.-.-		3'-5' exonuclease DinG
LHHIPBPA_00320	CDS	519	secB		COG1952	Protein-export protein SecB
LHHIPBPA_00321	CDS	639				hypothetical protein
LHHIPBPA_00322	CDS	1143				hypothetical protein
LHHIPBPA_00323	CDS	1548				hypothetical protein
LHHIPBPA_00324	CDS	1137				hypothetical protein
LHHIPBPA_00325	CDS	855				hypothetical protein
LHHIPBPA_00326	CDS	3564	gdh	1.4.1.2	COG2902	NAD-specific glutamate dehydrogenase
LHHIPBPA_00327	CDS	1356	gdhB	1.4.1.2	COG2902	NAD-specific glutamate dehydrogenase
LHHIPBPA_00328	CDS	471				hypothetical protein
LHHIPBPA_00329	CDS	555	nfuA			Fe/S biogenesis protein NfuA
LHHIPBPA_00330	CDS	702	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
LHHIPBPA_00331	CDS	435	rimI	2.3.1.266	COG0456	[Ribosomal protein S18]-alanine N-acetyltransferase
LHHIPBPA_00332	CDS	483				hypothetical protein
LHHIPBPA_00333	CDS	1548	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
LHHIPBPA_00334	CDS	996			COG1702	PhoH-like protein
LHHIPBPA_00335	CDS	462	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
LHHIPBPA_00336	CDS	1608	lnt	2.3.1.269	COG0815	Apolipoprotein N-acyltransferase
LHHIPBPA_00337	CDS	414				hypothetical protein
LHHIPBPA_00338	CDS	1227	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
LHHIPBPA_00339	CDS	450	dut	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
LHHIPBPA_00340	CDS	366				hypothetical protein
LHHIPBPA_00341	CDS	750	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
LHHIPBPA_00342	CDS	873	dnaJ_1		COG0484	Chaperone protein DnaJ
LHHIPBPA_00343	CDS	1911	dnaK		COG0443	Chaperone protein DnaK
LHHIPBPA_00344	CDS	393				hypothetical protein
LHHIPBPA_00345	tRNA	92				tRNA-Leu(gag)
LHHIPBPA_00346	CDS	906	clcD	3.1.1.45		Carboxymethylenebutenolidase
LHHIPBPA_00347	CDS	654	grpE			Protein GrpE
LHHIPBPA_00348	CDS	1089	hrcA		COG1420	Heat-inducible transcription repressor HrcA
LHHIPBPA_00349	CDS	576				hypothetical protein
LHHIPBPA_00350	CDS	726	rph	2.7.7.56		Ribonuclease PH
LHHIPBPA_00351	CDS	366				hypothetical protein
LHHIPBPA_00352	CDS	1143				hypothetical protein
LHHIPBPA_00353	CDS	525				hypothetical protein
LHHIPBPA_00354	CDS	471				hypothetical protein
LHHIPBPA_00355	CDS	459				hypothetical protein
LHHIPBPA_00356	CDS	534				hypothetical protein
LHHIPBPA_00357	CDS	1302	hslU		COG1220	ATP-dependent protease ATPase subunit HslU
LHHIPBPA_00358	CDS	558	hslV	3.4.25.2	COG5405	ATP-dependent protease subunit HslV
LHHIPBPA_00359	CDS	390				hypothetical protein
LHHIPBPA_00360	CDS	735	moeB	2.7.7.80	COG0476	Molybdopterin-synthase adenylyltransferase
LHHIPBPA_00361	CDS	1971				hypothetical protein
LHHIPBPA_00362	CDS	2028				hypothetical protein
LHHIPBPA_00363	CDS	987		1.1.1.-		Putative 2-hydroxyacid dehydrogenase
LHHIPBPA_00364	CDS	558				hypothetical protein
LHHIPBPA_00365	CDS	534	fabA	4.2.1.59		3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
LHHIPBPA_00366	CDS	1230	fabB	2.3.1.41		3-oxoacyl-[acyl-carrier-protein] synthase 1
LHHIPBPA_00367	CDS	822	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
LHHIPBPA_00368	CDS	138				hypothetical protein
LHHIPBPA_00369	CDS	528	rimM		COG0806	Ribosome maturation factor RimM
LHHIPBPA_00370	CDS	642				hypothetical protein
LHHIPBPA_00371	CDS	1524	ffh		COG0541	Signal recognition particle protein
LHHIPBPA_00372	CDS	483				hypothetical protein
