locus_tag	ftype	length_bp	gene	EC_number	COG	product
FAAGMPBJ_00072	CDS	1395				hypothetical protein
FAAGMPBJ_00073	CDS	366	cinA_1		COG1058	Putative competence-damage inducible protein
FAAGMPBJ_00074	CDS	606	ytfE			Iron-sulfur cluster repair protein YtfE
FAAGMPBJ_00075	CDS	282				hypothetical protein
FAAGMPBJ_00076	CDS	618				hypothetical protein
FAAGMPBJ_00077	CDS	702				hypothetical protein
FAAGMPBJ_00078	CDS	408				hypothetical protein
FAAGMPBJ_00079	CDS	612				hypothetical protein
FAAGMPBJ_00080	CDS	1023				hypothetical protein
FAAGMPBJ_00081	CDS	1047	pal_1			Peptidoglycan-associated lipoprotein
FAAGMPBJ_00082	CDS	558				hypothetical protein
FAAGMPBJ_00083	CDS	1086	menB_1	4.1.3.36		1,4-dihydroxy-2-naphthoyl-CoA synthase
FAAGMPBJ_00084	CDS	984				hypothetical protein
FAAGMPBJ_00085	CDS	192				hypothetical protein
FAAGMPBJ_00086	CDS	432				hypothetical protein
FAAGMPBJ_00087	CDS	255				hypothetical protein
FAAGMPBJ_00088	CDS	327				hypothetical protein
FAAGMPBJ_00089	CDS	1005				hypothetical protein
FAAGMPBJ_00090	CDS	843	dcd_1	3.5.4.13		dCTP deaminase, dUMP-forming
FAAGMPBJ_00091	CDS	591				hypothetical protein
FAAGMPBJ_00092	CDS	810				hypothetical protein
FAAGMPBJ_00093	CDS	438				hypothetical protein
FAAGMPBJ_00094	CDS	1086				hypothetical protein
FAAGMPBJ_00095	CDS	372				hypothetical protein
FAAGMPBJ_00096	CDS	1191	intA_1		COG0582	Prophage integrase IntA
FAAGMPBJ_00097	tRNA	93				tRNA-Ser(gct)
FAAGMPBJ_00098	CDS	777				hypothetical protein
FAAGMPBJ_00099	CDS	1176	tyrB	2.6.1.57	COG1448	Aromatic-amino-acid aminotransferase
FAAGMPBJ_00100	CDS	2082	dsbD	1.8.1.8		Thiol:disulfide interchange protein DsbD
FAAGMPBJ_00101	CDS	1155				hypothetical protein
FAAGMPBJ_00102	CDS	963				hypothetical protein
FAAGMPBJ_00103	CDS	1272	gerN		COG0475	Na(+)/H(+)-K(+) antiporter GerN
FAAGMPBJ_00104	CDS	2598	metH_1	2.1.1.13	COG0646	Methionine synthase
FAAGMPBJ_00105	CDS	1047	metH_2	2.1.1.13	COG0646	Methionine synthase
FAAGMPBJ_00106	CDS	243				hypothetical protein
FAAGMPBJ_00107	CDS	735	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
FAAGMPBJ_00108	CDS	1008	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
FAAGMPBJ_00109	CDS	318				hypothetical protein
FAAGMPBJ_00110	CDS	225				hypothetical protein
FAAGMPBJ_00111	CDS	903	kynA	1.13.11.11	COG3483	Tryptophan 2,3-dioxygenase
FAAGMPBJ_00112	CDS	909	ubiA	2.5.1.39	COG0382	4-hydroxybenzoate octaprenyltransferase
FAAGMPBJ_00113	CDS	798				hypothetical protein
FAAGMPBJ_00114	CDS	249				hypothetical protein
FAAGMPBJ_00115	CDS	759				hypothetical protein
FAAGMPBJ_00116	CDS	168				hypothetical protein
FAAGMPBJ_00117	CDS	138				hypothetical protein
FAAGMPBJ_00118	CDS	663				hypothetical protein
FAAGMPBJ_00119	CDS	162				hypothetical protein
FAAGMPBJ_00120	CDS	513	dps2	1.16.-.-	COG0783	DNA protection during starvation protein 2
FAAGMPBJ_00121	CDS	336				hypothetical protein
FAAGMPBJ_00122	CDS	699				hypothetical protein
FAAGMPBJ_00123	CDS	2451				hypothetical protein
FAAGMPBJ_00124	CDS	450				hypothetical protein
FAAGMPBJ_00125	CDS	2466				hypothetical protein
FAAGMPBJ_00126	CDS	636				hypothetical protein
FAAGMPBJ_00127	CDS	630				hypothetical protein
FAAGMPBJ_00128	CDS	906	ku		COG1273	Non-homologous end joining protein Ku
FAAGMPBJ_00129	CDS	2493	ligD		COG1793	Multifunctional non-homologous end joining protein LigD
FAAGMPBJ_00130	CDS	1515	ade_1	3.5.4.2		Adenine deaminase
FAAGMPBJ_00131	tRNA	74				tRNA-Cys(gca)
FAAGMPBJ_00132	CDS	672	pcm	2.1.1.77	COG2518	Protein-L-isoaspartate O-methyltransferase
FAAGMPBJ_00133	CDS	1455	bepC			Outer membrane efflux protein BepC
FAAGMPBJ_00134	CDS	432				hypothetical protein
FAAGMPBJ_00135	CDS	2061	dpp5_1	3.4.14.-	COG1506	Dipeptidyl-peptidase 5
FAAGMPBJ_00136	CDS	3048	valS	6.1.1.9	COG0525	Valine--tRNA ligase
FAAGMPBJ_00137	CDS	1242				hypothetical protein
FAAGMPBJ_00138	CDS	2391	pcrA	3.6.4.12	COG0210	ATP-dependent DNA helicase PcrA
FAAGMPBJ_00139	CDS	207				hypothetical protein
FAAGMPBJ_00140	CDS	210				hypothetical protein
FAAGMPBJ_00141	CDS	1095	recF		COG1195	DNA replication and repair protein RecF
FAAGMPBJ_00142	CDS	129				hypothetical protein
FAAGMPBJ_00143	CDS	189				hypothetical protein
FAAGMPBJ_00144	CDS	768				queuosine precursor transporter
FAAGMPBJ_00145	tRNA	77				tRNA-Arg(tct)
FAAGMPBJ_00146	CDS	753	fpr	1.18.1.2	COG1018	Flavodoxin/ferredoxin--NADP reductase
FAAGMPBJ_00147	CDS	435				hypothetical protein
FAAGMPBJ_00148	CDS	1545				hypothetical protein
FAAGMPBJ_00149	CDS	720				hypothetical protein
FAAGMPBJ_00150	CDS	480				hypothetical protein
FAAGMPBJ_00151	CDS	1110				hypothetical protein
FAAGMPBJ_00152	CDS	510				hypothetical protein
FAAGMPBJ_00153	CDS	765	bacC_1	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
FAAGMPBJ_00154	CDS	639	gstB	2.5.1.18	COG0625	Glutathione S-transferase GST-6.0
FAAGMPBJ_00155	CDS	990	acoA_1	1.1.1.-	COG1071	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha
FAAGMPBJ_00156	CDS	1038	pdhB	1.2.4.1	COG0022	Pyruvate dehydrogenase E1 component subunit beta
FAAGMPBJ_00157	CDS	231	odhB	2.3.1.61		Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
FAAGMPBJ_00158	CDS	390				hypothetical protein
FAAGMPBJ_00159	CDS	1176	crtY	5.5.1.19		Lycopene beta-cyclase
FAAGMPBJ_00160	CDS	792				hypothetical protein
FAAGMPBJ_00161	CDS	435				hypothetical protein
FAAGMPBJ_00162	CDS	1239				hypothetical protein
FAAGMPBJ_00163	CDS	426				hypothetical protein
FAAGMPBJ_00164	CDS	450				hypothetical protein
FAAGMPBJ_00165	CDS	387				hypothetical protein
FAAGMPBJ_00166	CDS	909				hypothetical protein
FAAGMPBJ_00167	CDS	420				hypothetical protein
FAAGMPBJ_00168	CDS	600				hypothetical protein
FAAGMPBJ_00169	CDS	1905	thiC	4.1.99.17	COG0422	Phosphomethylpyrimidine synthase
FAAGMPBJ_00170	CDS	264				hypothetical protein
FAAGMPBJ_00171	CDS	1692				hypothetical protein
FAAGMPBJ_00172	CDS	795				putative protein
FAAGMPBJ_00173	CDS	1386				hypothetical protein
FAAGMPBJ_00174	CDS	996				hypothetical protein
FAAGMPBJ_00175	CDS	1593		4.1.3.1	COG2224	Isocitrate lyase
FAAGMPBJ_00176	CDS	405				hypothetical protein
FAAGMPBJ_00177	CDS	735	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
FAAGMPBJ_00178	CDS	381				hypothetical protein
FAAGMPBJ_00179	CDS	756	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
FAAGMPBJ_00180	CDS	1200	caiA_1	1.3.8.13		Crotonobetainyl-CoA reductase
FAAGMPBJ_00181	CDS	1140				hypothetical protein
FAAGMPBJ_00182	CDS	498				hypothetical protein
FAAGMPBJ_00183	CDS	528				hypothetical protein
FAAGMPBJ_00184	CDS	618	rnd_1	3.1.13.5		Ribonuclease D
FAAGMPBJ_00185	CDS	642				hypothetical protein
FAAGMPBJ_00186	CDS	615	lptA			Lipopolysaccharide export system protein LptA
FAAGMPBJ_00187	CDS	783	lptB	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
FAAGMPBJ_00188	CDS	1548	rpoN2		COG1508	RNA polymerase sigma-54 factor 2
FAAGMPBJ_00189	CDS	681	lon2	3.4.21.53	COG0466	Lon protease 2
FAAGMPBJ_00190	CDS	918	cnoX		COG3118	Chaperedoxin
FAAGMPBJ_00191	tRNA	75				tRNA-Gly(gcc)
FAAGMPBJ_00192	CDS	2196	fcuA			Ferrichrome receptor FcuA
FAAGMPBJ_00193	CDS	192				hypothetical protein
FAAGMPBJ_00194	CDS	1317				hypothetical protein
FAAGMPBJ_00195	CDS	483				hypothetical protein
FAAGMPBJ_00196	CDS	2292				hypothetical protein
FAAGMPBJ_00197	CDS	375				hypothetical protein
FAAGMPBJ_00198	CDS	186				hypothetical protein
FAAGMPBJ_00199	CDS	1170		1.1.1.1	COG1063	putative zinc-binding alcohol dehydrogenase
FAAGMPBJ_00200	CDS	615				hypothetical protein
FAAGMPBJ_00201	CDS	165				hypothetical protein
FAAGMPBJ_00202	CDS	873				hypothetical protein
FAAGMPBJ_00203	CDS	810	zupT		COG0428	Zinc transporter ZupT
FAAGMPBJ_00204	CDS	936				hypothetical protein
FAAGMPBJ_00205	CDS	999	bchX	1.3.7.15	COG1348	Chlorophyllide reductase 35.5 kDa chain
FAAGMPBJ_00206	CDS	1533	bchY	1.3.7.15		Chlorophyllide reductase 52.5 kDa chain
FAAGMPBJ_00207	CDS	1455	bchZ	1.3.7.15	COG2710	Chlorophyllide reductase subunit Z
FAAGMPBJ_00208	CDS	213				hypothetical protein
FAAGMPBJ_00209	CDS	186				hypothetical protein
FAAGMPBJ_00210	CDS	825	pufL			Reaction center protein L chain
FAAGMPBJ_00211	CDS	1053	pufM			Reaction center protein M chain
FAAGMPBJ_00212	CDS	1104	pufC			Photosynthetic reaction center cytochrome c subunit
FAAGMPBJ_00213	CDS	732				hypothetical protein
FAAGMPBJ_00214	CDS	129				hypothetical protein
FAAGMPBJ_00215	CDS	327				hypothetical protein
FAAGMPBJ_00216	CDS	1356		3.5.1.47		N-acetyldiaminopimelate deacetylase
FAAGMPBJ_00217	CDS	396				hypothetical protein
FAAGMPBJ_00218	CDS	1089	dap_1	3.4.11.19		D-aminopeptidase
FAAGMPBJ_00219	CDS	567				hypothetical protein
FAAGMPBJ_00220	CDS	2271	uvrB		COG0556	UvrABC system protein B
FAAGMPBJ_00221	CDS	291				hypothetical protein
FAAGMPBJ_00222	CDS	171				hypothetical protein
FAAGMPBJ_00223	CDS	2244	katG	1.11.1.21	COG0376	Catalase-peroxidase
FAAGMPBJ_00224	CDS	2136				hypothetical protein
FAAGMPBJ_00225	CDS	3558	smc			Chromosome partition protein Smc
FAAGMPBJ_00226	CDS	747				hypothetical protein
FAAGMPBJ_00227	CDS	714				hypothetical protein
FAAGMPBJ_00228	CDS	654				hypothetical protein
FAAGMPBJ_00229	CDS	1104	mutY	3.2.2.31	COG1194	Adenine DNA glycosylase
FAAGMPBJ_00230	CDS	1299				hypothetical protein
FAAGMPBJ_00231	CDS	885	nudC	3.6.1.22		NADH pyrophosphatase
FAAGMPBJ_00232	tRNA	74				tRNA-Gly(tcc)
FAAGMPBJ_00233	CDS	1251	intA_2		COG0582	Prophage integrase IntA
FAAGMPBJ_00234	CDS	741				hypothetical protein
FAAGMPBJ_00235	CDS	2970				hypothetical protein
FAAGMPBJ_00236	CDS	1314				hypothetical protein
FAAGMPBJ_00237	CDS	1527		2.1.1.72	COG0286	putative type I restriction enzymeP M protein
FAAGMPBJ_00238	CDS	627				hypothetical protein
FAAGMPBJ_00239	CDS	264				hypothetical protein
FAAGMPBJ_00240	CDS	171				hypothetical protein
FAAGMPBJ_00241	CDS	717				hypothetical protein
FAAGMPBJ_00242	CDS	210				hypothetical protein
FAAGMPBJ_00243	CDS	666	traC_1	2.7.7.-		DNA primase TraC
FAAGMPBJ_00244	CDS	873				IS21 family transposase ISRel3
FAAGMPBJ_00245	CDS	1245				hypothetical protein
FAAGMPBJ_00246	CDS	177				hypothetical protein
FAAGMPBJ_00247	CDS	249				hypothetical protein
FAAGMPBJ_00248	CDS	921				hypothetical protein
FAAGMPBJ_00249	CDS	183				hypothetical protein
FAAGMPBJ_00250	CDS	237				hypothetical protein
FAAGMPBJ_00251	CDS	324				hypothetical protein
FAAGMPBJ_00252	CDS	2982	recD2_1	3.6.4.12		ATP-dependent RecD-like DNA helicase
FAAGMPBJ_00253	CDS	711				hypothetical protein
FAAGMPBJ_00254	CDS	1854				hypothetical protein
FAAGMPBJ_00255	CDS	1164				hypothetical protein
FAAGMPBJ_00256	CDS	1851				hypothetical protein
FAAGMPBJ_00257	CDS	3051				hypothetical protein
FAAGMPBJ_00258	CDS	3402	recB_1	3.1.11.5		RecBCD enzyme subunit RecB
FAAGMPBJ_00259	CDS	2664				hypothetical protein
FAAGMPBJ_00260	CDS	357				hypothetical protein
FAAGMPBJ_00261	CDS	930				hypothetical protein
FAAGMPBJ_00262	CDS	798				hypothetical protein
FAAGMPBJ_00263	CDS	1485	opuE		COG0591	Osmoregulated proline transporter OpuE
FAAGMPBJ_00264	CDS	1281	proA_1	1.2.1.41		Gamma-glutamyl phosphate reductase
FAAGMPBJ_00265	CDS	777	proC_1	1.5.1.2		Pyrroline-5-carboxylate reductase
FAAGMPBJ_00266	CDS	1305	proB_1	2.7.2.11		Glutamate 5-kinase
FAAGMPBJ_00267	CDS	1218	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
FAAGMPBJ_00268	CDS	456	dut	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
FAAGMPBJ_00269	CDS	699				hypothetical protein
FAAGMPBJ_00270	CDS	1005	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
FAAGMPBJ_00271	CDS	1641	murJ_1		COG0728	putative lipid II flippase MurJ
FAAGMPBJ_00272	CDS	507	secB			Protein-export protein SecB
FAAGMPBJ_00273	CDS	636				hypothetical protein
FAAGMPBJ_00274	CDS	1317				hypothetical protein
FAAGMPBJ_00275	CDS	630				hypothetical protein
FAAGMPBJ_00276	CDS	399	msrB_1	1.8.4.12	COG0229	Peptide methionine sulfoxide reductase MsrB
FAAGMPBJ_00277	CDS	1038				hypothetical protein
FAAGMPBJ_00278	CDS	498				hypothetical protein
FAAGMPBJ_00279	CDS	2799	leuS	6.1.1.4		Leucine--tRNA ligase
FAAGMPBJ_00280	CDS	444				hypothetical protein
FAAGMPBJ_00281	CDS	735				hypothetical protein
FAAGMPBJ_00282	CDS	951				hypothetical protein
FAAGMPBJ_00283	CDS	129				hypothetical protein
FAAGMPBJ_00284	CDS	642				hypothetical protein
FAAGMPBJ_00285	CDS	672	yggS		COG0325	Pyridoxal phosphate homeostasis protein
FAAGMPBJ_00286	CDS	975	pcpF	1.8.5.7	COG0435	Glutathionyl-hydroquinone reductase PcpF
FAAGMPBJ_00287	CDS	753				hypothetical protein
FAAGMPBJ_00288	CDS	1017				hypothetical protein
FAAGMPBJ_00289	CDS	2556		1.18.1.2		Ferredoxin--NADP reductase
FAAGMPBJ_00290	CDS	912				hypothetical protein
FAAGMPBJ_00291	CDS	1869				hypothetical protein
FAAGMPBJ_00292	CDS	849	cpdA_1	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
FAAGMPBJ_00293	CDS	2169	dcp	3.4.15.5	COG0339	Dipeptidyl carboxypeptidase
FAAGMPBJ_00294	CDS	1098	cysK_1	2.5.1.47		Cysteine synthase
FAAGMPBJ_00295	CDS	372				hypothetical protein
FAAGMPBJ_00296	CDS	657				hypothetical protein
FAAGMPBJ_00297	CDS	435	mraZ			Transcriptional regulator MraZ
FAAGMPBJ_00298	CDS	996	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
FAAGMPBJ_00299	CDS	600				hypothetical protein
FAAGMPBJ_00300	CDS	1725	ftsI	3.4.16.4		putative peptidoglycan D,D-transpeptidase FtsI
FAAGMPBJ_00301	CDS	1428	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
FAAGMPBJ_00302	CDS	1419	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
FAAGMPBJ_00303	CDS	1071	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
FAAGMPBJ_00304	CDS	1326	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
FAAGMPBJ_00305	CDS	1233	ftsW	2.4.1.129		putative peptidoglycan glycosyltransferase FtsW
FAAGMPBJ_00306	CDS	1191	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
FAAGMPBJ_00307	CDS	1413	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
FAAGMPBJ_00308	CDS	1017	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
FAAGMPBJ_00309	CDS	1023	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
FAAGMPBJ_00310	CDS	894	ftsQ			Cell division protein FtsQ
FAAGMPBJ_00311	CDS	1317	ftsA		COG0849	Cell division protein FtsA
FAAGMPBJ_00312	CDS	1479	ftsZ			Cell division protein FtsZ
FAAGMPBJ_00313	CDS	2319				hypothetical protein
FAAGMPBJ_00314	CDS	1347	ubiB_1	2.7.-.-		protein kinase UbiB
FAAGMPBJ_00315	CDS	966				hypothetical protein
FAAGMPBJ_00316	CDS	972				hypothetical protein
FAAGMPBJ_00317	CDS	924	glsA	3.5.1.2	COG2066	Thermolabile glutaminase
FAAGMPBJ_00318	CDS	579				hypothetical protein
FAAGMPBJ_00319	CDS	1050	smtA_1	2.8.3.22	COG1804	Succinyl-CoA--L-malate CoA-transferase alpha subunit
FAAGMPBJ_00320	CDS	2538	btuB_2			Vitamin B12 transporter BtuB
FAAGMPBJ_00321	CDS	999				hypothetical protein
FAAGMPBJ_00322	CDS	972				hypothetical protein
FAAGMPBJ_00323	CDS	1278				hypothetical protein
FAAGMPBJ_00324	CDS	642				hypothetical protein
FAAGMPBJ_00325	CDS	1683	sctC			Type 3 secretion system secretin
FAAGMPBJ_00326	CDS	1035				hypothetical protein
FAAGMPBJ_00327	CDS	474				hypothetical protein
FAAGMPBJ_00328	CDS	984	pldB	3.1.1.5	COG2267	Lysophospholipase L2
FAAGMPBJ_00329	CDS	1113	dauA_1	1.4.99.6		FAD-dependent catabolic D-arginine dehydrogenase DauA
FAAGMPBJ_00330	CDS	177				hypothetical protein
FAAGMPBJ_00331	CDS	438	rnhA	3.1.26.4	COG0328	Ribonuclease HI
FAAGMPBJ_00332	CDS	972	thrB	2.7.1.39	COG2334	Homoserine kinase
FAAGMPBJ_00333	CDS	984	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
FAAGMPBJ_00334	CDS	708				hypothetical protein
FAAGMPBJ_00335	CDS	1722	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
FAAGMPBJ_00336	CDS	627				hypothetical protein
FAAGMPBJ_00337	CDS	1008	nagZ	3.2.1.52	COG1472	Beta-hexosaminidase
FAAGMPBJ_00338	CDS	804	scpA		COG1354	Segregation and condensation protein A
FAAGMPBJ_00339	CDS	660	scpB			Segregation and condensation protein B
FAAGMPBJ_00340	CDS	255	tatA		COG1826	Sec-independent protein translocase protein TatA
FAAGMPBJ_00341	CDS	417	tatB			Sec-independent protein translocase protein TatB
FAAGMPBJ_00342	CDS	822	tatC		COG0805	Sec-independent protein translocase protein TatC
FAAGMPBJ_00343	CDS	342				hypothetical protein
FAAGMPBJ_00344	CDS	1143	tgt	2.4.2.29		Queuine tRNA-ribosyltransferase
FAAGMPBJ_00345	CDS	1596				hypothetical protein
FAAGMPBJ_00346	CDS	252				hypothetical protein
FAAGMPBJ_00347	CDS	813	phyR_1			Phyllosphere-induced regulator PhyR
FAAGMPBJ_00348	CDS	2010	dapb3	3.4.14.-		Dipeptidyl aminopeptidase BIII
FAAGMPBJ_00349	CDS	615	rpsD		COG0522	30S ribosomal protein S4
FAAGMPBJ_00350	CDS	459				hypothetical protein
FAAGMPBJ_00351	CDS	1071	trmL_1	2.1.1.207		tRNA (cytidine(34)-2'-O)-methyltransferase
FAAGMPBJ_00352	CDS	474	nrdR		COG1327	Transcriptional repressor NrdR
FAAGMPBJ_00353	CDS	225				hypothetical protein
FAAGMPBJ_00354	CDS	1311	glyA2	2.1.2.1		Serine hydroxymethyltransferase 2
FAAGMPBJ_00355	CDS	444	ywlF	5.3.1.-	COG0698	Putative sugar phosphate isomerase YwlF
FAAGMPBJ_00356	CDS	690	mupP	3.1.3.105	COG0546	N-acetylmuramic acid 6-phosphate phosphatase
FAAGMPBJ_00357	CDS	1359	glmU			Bifunctional protein GlmU
FAAGMPBJ_00358	CDS	375				hypothetical protein
FAAGMPBJ_00359	CDS	264				hypothetical protein
FAAGMPBJ_00360	CDS	1824	nodM_1	2.6.1.16		Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
FAAGMPBJ_00361	CDS	2304				hypothetical protein
FAAGMPBJ_00362	CDS	675	purQ	6.3.5.3	COG0047	Phosphoribosylformylglycinamidine synthase subunit PurQ
FAAGMPBJ_00363	CDS	231	purS	6.3.5.3	COG1828	Phosphoribosylformylglycinamidine synthase subunit PurS
FAAGMPBJ_00364	CDS	129				hypothetical protein
FAAGMPBJ_00365	CDS	3069				hypothetical protein
